Type;Variables;29-Mar-2018:plants;04-Apr-2018:plants;19-Apr-2018:plants1.0;19-Apr-2018:plants2.0;19-Apr-2018:plants2.0.1;20-Apr-2018:plants2.0;25-Apr-2018:plants2.0;25-Apr-2018:plants2.0.1;02-May-2018:plants2.0;02-May-2018:plants2.0.1;02-May-2018:plants_test;02-May-2018:plants_test.1;02-May-2018:plants_test.1.1;02-May-2018:plants_test.1.1.1;03-May-2018:plants;03-May-2018:plants.1;03-May-2018:plants.1.1;03-May-2018:plants4.0;03-May-2018:plants5.0;03-May-2018:cats_dogs;04-May-2018:plants_demo;"11-May-2018:datasets/123._""egg""_eggs";"11-May-2018:datasets/123._""egg""_eggs.1";"11-May-2018:datasets/123._""egg""_eggs.1.1";"11-May-2018:datasets/123._""egg""_eggs.1.1.1";"11-May-2018:datasets/140._""fish""_fish";"11-May-2018:datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish";"11-May-2018:datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"11-May-2018:datasets/178._""juice""_fruit_and_vegetable_juices";"11-May-2018:datasets/192._""leafy_salad""_fresh_vegetables";"11-May-2018:datasets/237._""mushroom""_mushrooms";"11-May-2018:datasets/258._""pasta""_pasta";"11-May-2018:datasets/258._""pasta""_pasta::664._tortellini";"11-May-2018:datasets/123._""egg""_eggs"
Meta_data;min_images_per_class;50;50;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
Meta_data;no_copy;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
Meta_data;non_interactive_mode;;;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True
Meta_data;num_cpu;;;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48;48
Meta_data;output_folder_path;/home/camille/tortilla/datasets/plants;/home/camille/tortilla/datasets/plants;/home/camille/tortilla/datasets/plants1.0;/home/camille/tortilla/datasets/plants1.0;/home/camille/tortilla/datasets/plants1.0;/home/camille/tortilla/datasets/plants1.0;/home/camille/camille/tortilla/datasets/plants1.0;/home/camille/camille/tortilla/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/plants1.0;/mount/SDB/tortilla-camille/datasets/cats_dogs;/mount/SDB/tortilla-camille/datasets/plants_demo;"/home/harsh/tortilla/datasets/123._""egg""_eggs";"/home/harsh/tortilla/datasets/123._""egg""_eggs";"/home/harsh/tortilla/datasets/123._""egg""_eggs";"/home/harsh/tortilla/datasets/123._""egg""_eggs";"/home/harsh/tortilla/datasets/140._""fish""_fish";"/home/harsh/tortilla/datasets/140._""fish""_fish::141._""fish""_fresh_water_fish";"/home/harsh/tortilla/datasets/140._""fish""_fish::142._""fish""_sea_fish";"/home/harsh/tortilla/datasets/140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish";"/home/harsh/tortilla/datasets/178._""juice""_fruit_and_vegetable_juices";"/home/harsh/tortilla/datasets/192._""leafy_salad""_fresh_vegetables";"/home/harsh/tortilla/datasets/237._""mushroom""_mushrooms";"/home/harsh/tortilla/datasets/258._""pasta""_pasta";"/home/harsh/tortilla/datasets/258._""pasta""_pasta::664._tortellini";"/home/harsh/tortilla/datasets/123._""egg""_eggs"
Meta_data;total_classes;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;2;2;2;2;4;4;13;3;2;7;4;7;2;2
Meta_data;total_images;686;686;686;686;686;686;686;686;686;686;686;686;686;686;686;686;686;686;686;2999;676;988;988;988;988;8316;1647;7753;1503;1477;3324;2751;10600;852;988
Meta_data;train_class_frequency;{'c_0': 156, 'c_1': 165, 'c_2': 98, 'c_3': 133};{'c_0': 156, 'c_1': 165, 'c_2': 98, 'c_3': 133};{'c_0': 154, 'c_1': 154, 'c_2': 91, 'c_3': 126};{'c_0': 154, 'c_1': 154, 'c_2': 91, 'c_3': 126};{'c_0': 165, 'c_1': 165, 'c_2': 102, 'c_3': 131};{'c_0': 170, 'c_1': 170, 'c_2': 104, 'c_3': 139};{'c_0': 165, 'c_1': 165, 'c_2': 100, 'c_3': 132};{'c_0': 165, 'c_1': 165, 'c_2': 100, 'c_3': 132};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'c_0': 168, 'c_1': 168, 'c_2': 103, 'c_3': 136};{'cats': 1200, 'dogs': 1200};{'c_0': 150, 'c_1': 150, 'c_2': 83, 'c_3': 117};"{'123._""egg""_eggs::121._""egg_white""_eggs': 335, '123._""egg""_eggs::122._""egg_yolk""_eggs': 482}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 335, '123._""egg""_eggs::122._""egg_yolk""_eggs': 482}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 335, '123._""egg""_eggs::122._""egg_yolk""_eggs': 482}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 335, '123._""egg""_eggs::122._""egg_yolk""_eggs': 482}";"{'140._""fish""_fish::141._""fish""_fresh_water_fish': 1311, '140._""fish""_fish::142._""fish""_sea_fish': 4027, '140._""fish""_fish::473._mixed_fried_fish': 584, '140._""fish""_fish::474._mixed_grilled_fish': 750}";"{'140._""fish""_fish::141._""fish""_fresh_water_fish::379._""trout""_fresh_water_fish': 384, '140._""fish""_fish::141._""fish""_fresh_water_fish::402._""whitefish""_fresh_water_fish': 417, '140._""fish""_fish::141._""fish""_fresh_water_fish::442._filet_de_perches_du_lac': 327, '140._""fish""_fish::141._""fish""_fresh_water_fish::443._filet_de_perches_du_lac': 223}";"{'140._""fish""_fish::142._""fish""_sea_fish::143._""flounder""_sea_fish': 247, '140._""fish""_fish::142._""fish""_sea_fish::165._""hake""_sea_fish': 221, '140._""fish""_fish::142._""fish""_sea_fish::166._""halibut""_sea_fish': 412, '140._""fish""_fish::142._""fish""_sea_fish::275._""plaice""_sea_fish': 333, '140._""fish""_fish::142._""fish""_sea_fish::279._""pollock""_sea_fish': 230, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish': 1523, '140._""fish""_fish::142._""fish""_sea_fish::327._""sardine""_sea_fish': 471, '140._""fish""_fish::142._""fish""_sea_fish::341._""sole""_sea_fish': 268, '140._""fish""_fish::142._""fish""_sea_fish::381._""tuna""_sea_fish': 387, '140._""fish""_fish::142._""fish""_sea_fish::5._""anchovy""_sea_fish': 350, '140._""fish""_fish::142._""fish""_sea_fish::507._sea_bass': 660, '140._""fish""_fish::142._""fish""_sea_fish::508._sea_bream': 629, '140._""fish""_fish::142._""fish""_sea_fish::532._turbot_baked_with_potatoes': 433}";"{'140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::436._escalope_de_saumon_aux_baies_roses': 190, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::510._smoked_salmon_carpaccio_with_agrumes': 220, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::51F_grilled_salmon': 800}";"{'178._""juice""_fruit_and_vegetable_juices::179._""juice""_fruit_juices': 835, '178._""juice""_fruit_and_vegetable_juices::180._""juice""_vegetable_juices': 345}";"{'192._""leafy_salad""_fresh_vegetables::176._""iceberg_lettuce""_fresh_vegetables': 300, '192._""leafy_salad""_fresh_vegetables::313._""rocket""_fresh_vegetables': 360, '192._""leafy_salad""_fresh_vegetables::316._""romaine_lettuce""_fresh_vegetables': 311, '192._""leafy_salad""_fresh_vegetables::393._""water_cress""_fresh_vegetables': 344, '192._""leafy_salad""_fresh_vegetables::457._green_salad': 622, '192._""leafy_salad""_fresh_vegetables::475._mixed_salad': 423, '192._""leafy_salad""_fresh_vegetables::51._""butterhead_lettuce""_fresh_vegetables': 317}";"{'237._""mushroom""_mushrooms::120._""edible_boletus""_mushrooms': 762, '237._""mushroom""_mushrooms::232._""morel""_mushrooms': 565, '237._""mushroom""_mushrooms::492._porcin_mushrooms_to_the_hoven': 117, '237._""mushroom""_mushrooms::65._""chanterelle""_mushrooms': 777}";"{'258._""pasta""_pasta::257._""pasta_salad""_salads': 646, '258._""pasta""_pasta::482._penne_with_strong_chili': 385, '258._""pasta""_pasta::496._ravioli_at_fresh_cheese_and_spinach_with_tomato_and_whipped_cream': 1309, '258._""pasta""_pasta::660._fettuccine': 851, '258._""pasta""_pasta::662._spaghetti': 3767, '258._""pasta""_pasta::663._tonnarelli': 859, '258._""pasta""_pasta::664._tortellini': 688}";"{'258._""pasta""_pasta::664._tortellini::525._tortellini_with_wild_mushrooms': 154, '258._""pasta""_pasta::664._tortellini::526._tortellini_with_meat_sauce': 532}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 335, '123._""egg""_eggs::122._""egg_yolk""_eggs': 482}"
Meta_data;train_percent;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8
Meta_data;val_class_frequency;{'c_0': 44, 'c_1': 35, 'c_2': 26, 'c_3': 29};{'c_0': 44, 'c_1': 35, 'c_2': 26, 'c_3': 29};{'c_0': 46, 'c_1': 46, 'c_2': 33, 'c_3': 36};{'c_0': 46, 'c_1': 46, 'c_2': 33, 'c_3': 36};{'c_0': 35, 'c_1': 35, 'c_2': 22, 'c_3': 31};{'c_0': 30, 'c_1': 30, 'c_2': 20, 'c_3': 23};{'c_0': 35, 'c_1': 35, 'c_2': 24, 'c_3': 30};{'c_0': 35, 'c_1': 35, 'c_2': 24, 'c_3': 30};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'c_0': 32, 'c_1': 32, 'c_2': 21, 'c_3': 26};{'cats': 299, 'dogs': 300};{'c_0': 50, 'c_1': 50, 'c_2': 31, 'c_3': 45};"{'123._""egg""_eggs::121._""egg_white""_eggs': 69, '123._""egg""_eggs::122._""egg_yolk""_eggs': 102}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 69, '123._""egg""_eggs::122._""egg_yolk""_eggs': 102}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 69, '123._""egg""_eggs::122._""egg_yolk""_eggs': 102}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 69, '123._""egg""_eggs::122._""egg_yolk""_eggs': 102}";"{'140._""fish""_fish::141._""fish""_fresh_water_fish': 336, '140._""fish""_fish::142._""fish""_sea_fish': 973, '140._""fish""_fish::473._mixed_fried_fish': 152, '140._""fish""_fish::474._mixed_grilled_fish': 183}";"{'140._""fish""_fish::141._""fish""_fresh_water_fish::379._""trout""_fresh_water_fish': 84, '140._""fish""_fish::141._""fish""_fresh_water_fish::402._""whitefish""_fresh_water_fish': 94, '140._""fish""_fish::141._""fish""_fresh_water_fish::442._filet_de_perches_du_lac': 72, '140._""fish""_fish::141._""fish""_fresh_water_fish::443._filet_de_perches_du_lac': 46}";"{'140._""fish""_fish::142._""fish""_sea_fish::143._""flounder""_sea_fish': 65, '140._""fish""_fish::142._""fish""_sea_fish::165._""hake""_sea_fish': 59, '140._""fish""_fish::142._""fish""_sea_fish::166._""halibut""_sea_fish': 104, '140._""fish""_fish::142._""fish""_sea_fish::275._""plaice""_sea_fish': 90, '140._""fish""_fish::142._""fish""_sea_fish::279._""pollock""_sea_fish': 60, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish': 380, '140._""fish""_fish::142._""fish""_sea_fish::327._""sardine""_sea_fish': 125, '140._""fish""_fish::142._""fish""_sea_fish::341._""sole""_sea_fish': 74, '140._""fish""_fish::142._""fish""_sea_fish::381._""tuna""_sea_fish': 98, '140._""fish""_fish::142._""fish""_sea_fish::5._""anchovy""_sea_fish': 92, '140._""fish""_fish::142._""fish""_sea_fish::507._sea_bass': 171, '140._""fish""_fish::142._""fish""_sea_fish::508._sea_bream': 162, '140._""fish""_fish::142._""fish""_sea_fish::532._turbot_baked_with_potatoes': 109}";"{'140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::436._escalope_de_saumon_aux_baies_roses': 42, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::510._smoked_salmon_carpaccio_with_agrumes': 51, '140._""fish""_fish::142._""fish""_sea_fish::323._""salmon""_sea_fish::51F_grilled_salmon': 200}";"{'178._""juice""_fruit_and_vegetable_juices::179._""juice""_fruit_juices': 208, '178._""juice""_fruit_and_vegetable_juices::180._""juice""_vegetable_juices': 89}";"{'192._""leafy_salad""_fresh_vegetables::176._""iceberg_lettuce""_fresh_vegetables': 69, '192._""leafy_salad""_fresh_vegetables::313._""rocket""_fresh_vegetables': 87, '192._""leafy_salad""_fresh_vegetables::316._""romaine_lettuce""_fresh_vegetables': 76, '192._""leafy_salad""_fresh_vegetables::393._""water_cress""_fresh_vegetables': 81, '192._""leafy_salad""_fresh_vegetables::457._green_salad': 153, '192._""leafy_salad""_fresh_vegetables::475._mixed_salad': 105, '192._""leafy_salad""_fresh_vegetables::51._""butterhead_lettuce""_fresh_vegetables': 76}";"{'237._""mushroom""_mushrooms::120._""edible_boletus""_mushrooms': 185, '237._""mushroom""_mushrooms::232._""morel""_mushrooms': 138, '237._""mushroom""_mushrooms::492._porcin_mushrooms_to_the_hoven': 18, '237._""mushroom""_mushrooms::65._""chanterelle""_mushrooms': 189}";"{'258._""pasta""_pasta::257._""pasta_salad""_salads': 155, '258._""pasta""_pasta::482._penne_with_strong_chili': 102, '258._""pasta""_pasta::496._ravioli_at_fresh_cheese_and_spinach_with_tomato_and_whipped_cream': 318, '258._""pasta""_pasta::660._fettuccine': 198, '258._""pasta""_pasta::662._spaghetti': 959, '258._""pasta""_pasta::663._tonnarelli': 199, '258._""pasta""_pasta::664._tortellini': 164}";"{'258._""pasta""_pasta::664._tortellini::525._tortellini_with_wild_mushrooms': 42, '258._""pasta""_pasta::664._tortellini::526._tortellini_with_meat_sauce': 124}";"{'123._""egg""_eggs::121._""egg_white""_eggs': 69, '123._""egg""_eggs::122._""egg_yolk""_eggs': 102}"
